"filename", "language", "JavaScript", "JSON", "Markdown", "pip requirements", "Python", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System\python-server\requirements.txt", "pip requirements", 0, 0, 0, -7, 0, -1, -1, -9
"d:\EcoTrack-Waste-Management-System\python-server\schedule.py", "Python", 0, 0, 0, 0, -29, -5, -11, -45
"d:\EcoTrack-Waste-Management-System\python-server\server.py", "Python", 0, 0, 0, 0, -65, -10, -20, -95
"d:\EcoTrack-Waste-Management-System\server\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 6, 13
"d:\EcoTrack-Waste-Management-System\server\config\connectDB.js", "JavaScript", 14, 0, 0, 0, 0, 4, 5, 23
"d:\EcoTrack-Waste-Management-System\server\config\multer.js", "JavaScript", 16, 0, 0, 0, 0, 0, 4, 20
"d:\EcoTrack-Waste-Management-System\server\controllers\userController.js", "JavaScript", 57, 0, 0, 0, 0, 8, 15, 80
"d:\EcoTrack-Waste-Management-System\server\controllers\userReportController.js", "JavaScript", 134, 0, 0, 0, 0, 6, 22, 162
"d:\EcoTrack-Waste-Management-System\server\controllers\wasteBinController.js", "JavaScript", 244, 0, 0, 0, 0, 20, 42, 306
"d:\EcoTrack-Waste-Management-System\server\eslint.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 2, 34
"d:\EcoTrack-Waste-Management-System\server\index.js", "JavaScript", 39, 0, 0, 0, 0, 2, 10, 51
"d:\EcoTrack-Waste-Management-System\server\middleware\auth.js", "JavaScript", 101, 0, 0, 0, 0, 0, 14, 115
"d:\EcoTrack-Waste-Management-System\server\models\userModel.js", "JavaScript", 56, 0, 0, 0, 0, 0, 8, 64
"d:\EcoTrack-Waste-Management-System\server\models\userReportModel.js", "JavaScript", 44, 0, 0, 0, 0, 0, 4, 48
"d:\EcoTrack-Waste-Management-System\server\models\wasteBinModel.js", "JavaScript", 59, 0, 0, 0, 0, 0, 6, 65
"d:\EcoTrack-Waste-Management-System\server\package-lock.json", "JSON", 0, 4384, 0, 0, 0, 0, 1, 4385
"d:\EcoTrack-Waste-Management-System\server\package.json", "JSON", 0, 39, 0, 0, 0, 0, 1, 40
"d:\EcoTrack-Waste-Management-System\server\routes\userReportRoute.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 26
"d:\EcoTrack-Waste-Management-System\server\routes\userRoute.js", "JavaScript", 6, 0, 0, 0, 0, 4, 3, 13
"d:\EcoTrack-Waste-Management-System\server\routes\wasteBinRoute.js", "JavaScript", 24, 0, 0, 0, 0, 3, 9, 36
"d:\EcoTrack-Waste-Management-System\server\socket\socketIndex.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"d:\EcoTrack-Waste-Management-System\server\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 852, 4423, 7, -7, -94, 32, 128, 5341
