"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\server\README.md", "Markdown", 0, 67, 0, 0, 20, 87
"d:\EcoTrack-Waste-Management-System-main\server\config\connectDB.js", "JavaScript", 14, 0, 0, 4, 5, 23
"d:\EcoTrack-Waste-Management-System-main\server\config\multer.js", "JavaScript", 16, 0, 0, 0, 4, 20
"d:\EcoTrack-Waste-Management-System-main\server\controllers\adminController.js", "JavaScript", 406, 0, 0, 26, 54, 486
"d:\EcoTrack-Waste-Management-System-main\server\controllers\settingsController.js", "JavaScript", 102, 0, 0, 6, 11, 119
"d:\EcoTrack-Waste-Management-System-main\server\controllers\userController.js", "JavaScript", 57, 0, 0, 8, 15, 80
"d:\EcoTrack-Waste-Management-System-main\server\controllers\userReportController.js", "JavaScript", 345, 0, 0, 28, 61, 434
"d:\EcoTrack-Waste-Management-System-main\server\controllers\wasteBinController.js", "JavaScript", 285, 0, 0, 20, 49, 354
"d:\EcoTrack-Waste-Management-System-main\server\eslint.config.js", "JavaScript", 32, 0, 0, 0, 2, 34
"d:\EcoTrack-Waste-Management-System-main\server\index.js", "JavaScript", 60, 0, 0, 8, 13, 81
"d:\EcoTrack-Waste-Management-System-main\server\middleware\auth.js", "JavaScript", 101, 0, 0, 0, 14, 115
"d:\EcoTrack-Waste-Management-System-main\server\models\settingsModel.js", "JavaScript", 111, 0, 0, 0, 3, 114
"d:\EcoTrack-Waste-Management-System-main\server\models\userModel.js", "JavaScript", 56, 0, 0, 0, 8, 64
"d:\EcoTrack-Waste-Management-System-main\server\models\userReportModel.js", "JavaScript", 59, 0, 0, 0, 3, 62
"d:\EcoTrack-Waste-Management-System-main\server\models\wasteBinModel.js", "JavaScript", 59, 0, 0, 0, 6, 65
"d:\EcoTrack-Waste-Management-System-main\server\package-lock.json", "JSON", 0, 0, 1858, 0, 1, 1859
"d:\EcoTrack-Waste-Management-System-main\server\package.json", "JSON", 0, 0, 25, 0, 1, 26
"d:\EcoTrack-Waste-Management-System-main\server\routes\adminRoute.js", "JavaScript", 25, 0, 0, 5, 8, 38
"d:\EcoTrack-Waste-Management-System-main\server\routes\settingsRoute.js", "JavaScript", 13, 0, 0, 1, 5, 19
"d:\EcoTrack-Waste-Management-System-main\server\routes\userReportRoute.js", "JavaScript", 25, 0, 0, 0, 5, 30
"d:\EcoTrack-Waste-Management-System-main\server\routes\userRoute.js", "JavaScript", 6, 0, 0, 4, 3, 13
"d:\EcoTrack-Waste-Management-System-main\server\routes\wasteBinRoute.js", "JavaScript", 24, 0, 0, 3, 9, 36
"d:\EcoTrack-Waste-Management-System-main\server\scripts\optimizeDatabase.js", "JavaScript", 37, 0, 0, 3, 8, 48
"d:\EcoTrack-Waste-Management-System-main\server\socket\socketIndex.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\EcoTrack-Waste-Management-System-main\server\vite.config.js", "JavaScript", 5, 0, 0, 1, 2, 8
"Total", "-", 1838, 67, 1883, 117, 311, 4216
