"filename", "language", "pip requirements", "Python", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 127, 0, 0, 0, 0, 46, 50, 223
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__init__.py", "Python", 0, 5, 0, 0, 0, 0, 4, 5, 14
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__main__.py", "Python", 0, 14, 0, 0, 0, 0, 13, 5, 32
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 25, 0, 0, 0, 0, 9, 17, 51
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 7, 0, 0, 0, 0, 7, 6, 20
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 216, 0, 0, 0, 0, 57, 38, 311
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cache.py", "Python", 0, 185, 0, 0, 0, 0, 61, 48, 294
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 3, 2, 5
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py", "Python", 0, 118, 0, 0, 0, 0, 37, 17, 172
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\base_command.py", "Python", 0, 157, 0, 0, 0, 0, 22, 38, 217
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py", "Python", 0, 812, 0, 0, 0, 0, 92, 146, 1050
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\command_context.py", "Python", 0, 20, 0, 0, 0, 0, 0, 8, 28
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\main.py", "Python", 0, 28, 0, 0, 0, 0, 28, 15, 71
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py", "Python", 0, 79, 0, 0, 0, 0, 27, 29, 135
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\parser.py", "Python", 0, 196, 0, 0, 0, 0, 49, 50, 295
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py", "Python", 0, 55, 0, 0, 0, 0, 4, 10, 69
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\req_command.py", "Python", 0, 361, 0, 0, 0, 0, 78, 64, 503
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\spinners.py", "Python", 0, 114, 0, 0, 0, 0, 18, 28, 160
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py", "Python", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\__init__.py", "Python", 0, 106, 0, 0, 0, 0, 14, 13, 133
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\cache.py", "Python", 0, 140, 0, 0, 0, 0, 41, 43, 224
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\check.py", "Python", 0, 42, 0, 0, 0, 0, 1, 11, 54
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\completion.py", "Python", 0, 112, 0, 0, 0, 0, 12, 3, 127
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\configuration.py", "Python", 0, 204, 0, 0, 0, 0, 39, 40, 283
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\debug.py", "Python", 0, 142, 0, 0, 0, 0, 13, 45, 200
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\download.py", "Python", 0, 111, 0, 0, 0, 0, 13, 26, 150
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\freeze.py", "Python", 0, 81, 0, 0, 0, 0, 5, 12, 98
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\hash.py", "Python", 0, 42, 0, 0, 0, 0, 7, 11, 60
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\help.py", "Python", 0, 28, 0, 0, 0, 0, 2, 12, 42
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\index.py", "Python", 0, 101, 0, 0, 0, 0, 10, 28, 139
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\inspect.py", "Python", 0, 78, 0, 0, 0, 0, 9, 11, 98
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\install.py", "Python", 0, 695, 0, 0, 0, 0, 62, 104, 861
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\list.py", "Python", 0, 281, 0, 0, 0, 0, 30, 55, 366
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\search.py", "Python", 0, 136, 0, 0, 0, 0, 8, 31, 175
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\show.py", "Python", 0, 143, 0, 0, 0, 0, 14, 27, 184
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py", "Python", 0, 86, 0, 0, 0, 0, 9, 12, 107
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\commands\wheel.py", "Python", 0, 161, 0, 0, 0, 0, 15, 28, 204
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\configuration.py", "Python", 0, 227, 0, 0, 0, 0, 82, 66, 375
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py", "Python", 0, 12, 0, 0, 0, 0, 5, 5, 22
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\distributions\base.py", "Python", 0, 19, 0, 0, 0, 0, 14, 7, 40
